Subject,Condition,TweetID,TweetAccuracy,TweetEngage,TEndTime,TPageTime,TPAccuracy,TPEngage,TPEndTime,TPPageTime,FakeRate,FEndTime,FPageTime,Political_View,Trust_Tweet,Photoshop
273,3,3,Very Inaccurate (1),No Engagement,3.712,6.14,Very Inaccurate (1),No Engagement,5.977,6.613,More real than fake (4),0,1.331,0,1,1
274,1,1,Neither Accurate nor Inaccurate (3),No Engagement,24.795,25.816,Neither Accurate nor Inaccurate (3),No Engagement,10.683,11.519,More real than fake (4),0,1.327,1,1,0
274,2,2,Somewhat Inaccurate (2),No Engagement,8.702,9.203,Neither Accurate nor Inaccurate (3),No Engagement,7.787,8.583,More real than fake (4),3.363,4.244,1,1,0
274,3,3,Very Inaccurate (1),No Engagement,2.799,7.717,Very Inaccurate (1),No Engagement,3.796,4.75,I'm not sure (3),2.939,3.725,1,1,0
275,1,2,Very Inaccurate (1),No Engagement,35.596,35.999,Very Inaccurate (1),No Engagement,22.684,23.778,More fake than real (2),4.546,4.935,0,2,1
275,2,3,Very Inaccurate (1),No Engagement,7.839,8.313,Very Inaccurate (1),No Engagement,56.084,57.134,More real than fake (4),7.257,8.326,0,2,1
275,3,1,Neither Accurate nor Inaccurate (3),Retweet,38.115,38.789,Somewhat Inaccurate (2),No Engagement,5.797,7.119,Definitely fake (1),4.201,5.364,0,2,1
276,1,1,Neither Accurate nor Inaccurate (3),No Engagement,4.42,6.406,Somewhat Accurate (4),No Engagement,2.818,11.737,I'm not sure (3),0,2.053,1,1,1
276,2,2,Neither Accurate nor Inaccurate (3),No Engagement,14.047,16.159,Somewhat Accurate (4),No Engagement,2.359,4.051,More real than fake (4),0,1.06,1,1,1
276,3,3,Very Inaccurate (1),Reply,21.928,25.687,Very Inaccurate (1),Reply,27.514,29.449,More fake than real (2),15.611,17.873,1,1,1
277,1,1,Somewhat Inaccurate (2),No Engagement,2.598,3.664,Somewhat Accurate (4),Like,2.652,10.374,Definitely real (5),0,5.851,1,0,0
277,2,3,Very Accurate (5),No Engagement,10.394,12.063,Somewhat Accurate (4),No Engagement,4.77,6.527,Definitely real (5),0,2.101,1,0,0
277,3,2,Very Inaccurate (1),No Engagement,2.082,3.363,Very Inaccurate (1),No Engagement,1.847,3.115,Definitely fake (1),0.617,2.575,1,0,0
278,1,2,Neither Accurate nor Inaccurate (3),No Engagement,5.033,6.622,Somewhat Accurate (4),No Engagement,3.341,4.648,More fake than real (2),0,1.181,1,2,0
278,2,1,Somewhat Inaccurate (2),No Engagement,3.985,5.362,Somewhat Accurate (4),No Engagement,2.785,4.468,More real than fake (4),0,1.911,1,2,0
278,3,3,Very Inaccurate (1),Reply,7.723,10.972,Very Inaccurate (1),Reply,7.511,8.625,More fake than real (2),0,1.276,1,2,0
279,1,2,Neither Accurate nor Inaccurate (3),No Engagement,6.063,7.641,Somewhat Inaccurate (2),No Engagement,10.675,11.385,I'm not sure (3),5.053,5.801,1,1,1
279,2,1,Neither Accurate nor Inaccurate (3),No Engagement,12.925,18.685,Neither Accurate nor Inaccurate (3),No Engagement,7.442,7.828,More real than fake (4),15.151,16.01,1,1,1
279,3,3,Somewhat Inaccurate (2),0,19.428,20.291,Very Inaccurate (1),No Engagement,6.55,8.558,More fake than real (2),4.826,5.598,1,1,1
280,1,1,Somewhat Accurate (4),No Engagement,6.517,7.59,Neither Accurate nor Inaccurate (3),No Engagement,9.901,10.978,I'm not sure (3),3.699,4.84,1,1,0
280,2,3,Very Inaccurate (1),No Engagement,17.832,19.255,Somewhat Inaccurate (2),Reply,16.536,17.11,More real than fake (4),10.281,11.287,1,1,0
280,3,2,Neither Accurate nor Inaccurate (3),No Engagement,9.485,10.49,Somewhat Accurate (4),No Engagement,18.949,20.282,More fake than real (2),4.154,5.799,1,1,0
281,1,3,Very Inaccurate (1),No Engagement,24.006,27.172,Very Inaccurate (1),No Engagement,4.708,5.435,More fake than real (2),8.639,9.456,1,2,0
281,2,2,Somewhat Inaccurate (2),No Engagement,26.041,26.884,Somewhat Inaccurate (2),No Engagement,28.576,29.562,I'm not sure (3),7.935,8.686,1,2,0
281,3,1,Very Inaccurate (1),No Engagement,12.244,13.17,Very Inaccurate (1),No Engagement,4.28,4.959,Definitely fake (1),5.822,6.627,1,2,0
282,1,1,Very Inaccurate (1),No Engagement,9.606,10.182,Very Inaccurate (1),No Engagement,13.469,14.875,Definitely fake (1),20.252,22.546,1,1,1
282,2,2,Neither Accurate nor Inaccurate (3),No Engagement,28.125,30.271,Somewhat Accurate (4),No Engagement,11.835,11.868,Definitely fake (1),4.329,5.473,1,1,1
282,3,3,Very Inaccurate (1),No Engagement,7.546,8.343,Very Inaccurate (1),No Engagement,8.567,9.71,More fake than real (2),17.162,18.839,1,1,1
283,1,2,Somewhat Inaccurate (2),No Engagement,10.96,14.63,Neither Accurate nor Inaccurate (3),No Engagement,7.604,8.777,I'm not sure (3),10.591,11.483,1,0,1
283,2,1,Very Inaccurate (1),No Engagement,21.751,22.642,Neither Accurate nor Inaccurate (3),No Engagement,13.285,14.212,More real than fake (4),4.428,5.549,1,0,1
283,3,3,Very Inaccurate (1),No Engagement,12.316,13.531,Very Inaccurate (1),No Engagement,14.589,15.442,Definitely fake (1),2.72,3.702,1,0,1
284,1,3,Somewhat Inaccurate (2),No Engagement,22.373,23.742,Neither Accurate nor Inaccurate (3),No Engagement,4.378,5.062,More real than fake (4),2.561,3.589,1,0,1
284,2,1,Somewhat Accurate (4),No Engagement,12.099,12.886,Somewhat Accurate (4),Reply,7.701,7.773,More real than fake (4),4.369,5.045,1,0,1
284,3,2,Somewhat Inaccurate (2),No Engagement,16.331,17.031,Somewhat Inaccurate (2),No Engagement,15.795,17.331,Definitely fake (1),9.723,10.265,1,0,1
285,1,3,Very Inaccurate (1),No Engagement,10.56,11.32,Very Inaccurate (1),No Engagement,69.653,70.292,I'm not sure (3),8.552,9.266,1,2,0
285,2,2,Somewhat Inaccurate (2),No Engagement,12.944,13.604,Somewhat Inaccurate (2),No Engagement,5.241,6.124,More real than fake (4),4.803,5.337,1,2,0
285,3,1,Very Inaccurate (1),No Engagement,11.738,12.586,Very Inaccurate (1),No Engagement,23.982,24.692,More real than fake (4),10.981,11.547,1,2,0
286,1,2,Very Inaccurate (1),No Engagement,2.383,3.128,Very Inaccurate (1),No Engagement,1.023,1.543,Definitely fake (1),3.985,6.483,0,2,1
286,2,1,Very Inaccurate (1),No Engagement,4.176,4.985,Very Inaccurate (1),No Engagement,2.738,3.395,More real than fake (4),1.142,1.529,0,2,1
286,3,3,Very Inaccurate (1),No Engagement,313.54,314.374,Very Inaccurate (1),No Engagement,4.529,5.051,Definitely fake (1),0.999,1.215,0,2,1
287,1,1,Neither Accurate nor Inaccurate (3),No Engagement,5.848,8.956,Very Inaccurate (1),No Engagement,3.33,4.961,I'm not sure (3),0,1.038,1,1,1
287,2,3,Very Accurate (5),No Engagement,11.01,16.154,Very Accurate (5),No Engagement,1.787,3.594,I'm not sure (3),0,2.356,1,1,1
287,3,2,Neither Accurate nor Inaccurate (3),No Engagement,22.714,23.995,Neither Accurate nor Inaccurate (3),No Engagement,4.089,5.197,Definitely fake (1),1.702,3.271,1,1,1
288,1,3,Somewhat Inaccurate (2),No Engagement,2.438,3.996,Somewhat Inaccurate (2),No Engagement,1.851,2.913,More real than fake (4),0,1.101,1,2,1
288,2,1,Somewhat Accurate (4),External Share,3.17,4.45,Somewhat Inaccurate (2),No Engagement,1.552,3.074,More fake than real (2),0,1.585,1,2,1
288,3,2,Very Inaccurate (1),No Engagement,3.639,5.205,Very Inaccurate (1),No Engagement,2.065,3.328,More fake than real (2),2.63,3.527,1,2,1
289,1,2,Neither Accurate nor Inaccurate (3),External Share,18.149,19.359,Neither Accurate nor Inaccurate (3),External Share,4.788,5.882,More fake than real (2),10.937,12.129,1,1,0
289,2,1,Neither Accurate nor Inaccurate (3),No Engagement,61.005,62.278,Neither Accurate nor Inaccurate (3),No Engagement,5.033,6.098,More real than fake (4),3.736,4.958,1,1,0
289,3,3,Somewhat Accurate (4),No Engagement,26.471,27.541,Somewhat Accurate (4),Like,16.244,17.768,More fake than real (2),11.385,12.794,1,1,0
290,1,2,Somewhat Inaccurate (2),No Engagement,38.781,40.818,Somewhat Inaccurate (2),No Engagement,8.678,9.969,I'm not sure (3),4.072,6.112,1,1,1
290,2,3,Very Inaccurate (1),No Engagement,11.541,12.573,Very Inaccurate (1),No Engagement,8.3,9.399,I'm not sure (3),17.017,18.279,1,1,1
290,3,1,Very Inaccurate (1),No Engagement,6.16,7.426,Very Inaccurate (1),No Engagement,7.282,8.881,More real than fake (4),1.562,2.858,1,1,1
291,1,1,Very Inaccurate (1),No Engagement,44.247,45.189,Neither Accurate nor Inaccurate (3),Reply,4.272,9.665,More real than fake (4),0,1.935,0,2,0
291,2,2,Somewhat Accurate (4),No Engagement,4.244,5.441,Somewhat Accurate (4),No Engagement,1.236,2.257,More real than fake (4),0,1.334,0,2,0
291,3,3,Very Inaccurate (1),No Engagement,12.259,18.397,Very Inaccurate (1),No Engagement,3.75,5.069,Definitely fake (1),0,1.73,0,2,0
292,1,1,Very Inaccurate (1),No Engagement,1.131,1.975,Very Inaccurate (1),No Engagement,3.544,4.46,Definitely fake (1),0,4.131,1,2,1
292,2,3,Very Inaccurate (1),No Engagement,5.146,6.078,Very Inaccurate (1),No Engagement,4.33,7.249,More fake than real (2),1.62,2.531,1,2,1
292,3,2,Neither Accurate nor Inaccurate (3),No Engagement,1.534,2.534,Neither Accurate nor Inaccurate (3),No Engagement,1.339,2.567,More fake than real (2),0,1.097,1,2,1
293,1,3,Very Inaccurate (1),No Engagement,9.607,13.841,Very Inaccurate (1),Retweet,1.881,3.752,More real than fake (4),0,1.153,1,1,1
293,2,2,Neither Accurate nor Inaccurate (3),External Share,3.118,4.954,Somewhat Accurate (4),External Share,5.932,7.229,I'm not sure (3),0,1.707,1,1,1
293,3,1,Somewhat Accurate (4),No Engagement,5.499,6.82,Neither Accurate nor Inaccurate (3),No Engagement,3.513,5.083,More fake than real (2),0.826,2.15,1,1,1
294,1,2,Very Inaccurate (1),No Engagement,15.092,15.937,Very Inaccurate (1),External Share,8.791,11.095,More fake than real (2),14.307,16.401,0,0,1
294,2,3,Very Inaccurate (1),No Engagement,2.465,3.259,Very Inaccurate (1),No Engagement,17.225,17.959,Definitely real (5),2.845,3.613,0,0,1
294,3,1,Very Inaccurate (1),No Engagement,20.342,21.078,Very Inaccurate (1),No Engagement,4.146,4.826,Definitely real (5),2.593,3.267,0,0,1
295,1,2,Very Inaccurate (1),No Engagement,1.847,2.109,Very Inaccurate (1),No Engagement,2.435,3.348,More real than fake (4),0,1.8,0,2,1
295,2,3,Neither Accurate nor Inaccurate (3),No Engagement,3.855,4.596,Neither Accurate nor Inaccurate (3),No Engagement,1.443,2.233,More real than fake (4),4.503,5.029,0,2,1
295,3,1,Somewhat Accurate (4),No Engagement,1.105,1.606,Neither Accurate nor Inaccurate (3),No Engagement,1.819,2.571,More fake than real (2),0,1.173,0,2,1
296,1,1,Neither Accurate nor Inaccurate (3),No Engagement,24.964,26.965,Neither Accurate nor Inaccurate (3),No Engagement,25.883,27.485,I'm not sure (3),0,1.231,1,1,1
296,2,3,Very Inaccurate (1),No Engagement,2.799,6.774,Very Inaccurate (1),No Engagement,2.128,3.34,I'm not sure (3),0,1.038,1,1,1
296,3,2,Very Accurate (5),No Engagement,16.091,17.544,Neither Accurate nor Inaccurate (3),No Engagement,12.229,13.361,I'm not sure (3),0,1.193,1,1,1
297,1,3,Somewhat Inaccurate (2),Reply,7.126,8.606,Neither Accurate nor Inaccurate (3),Reply,5.426,6.493,I'm not sure (3),12.24,13.06,0,2,1
297,2,2,Somewhat Inaccurate (2),No Engagement,91.205,92.197,Somewhat Inaccurate (2),No Engagement,4.906,6.333,More fake than real (2),1.738,3.164,0,2,1
297,3,1,Somewhat Accurate (4),Like,3.926,5.252,Neither Accurate nor Inaccurate (3),Like,1.21,2.643,More real than fake (4),2.926,4.741,0,2,1
298,1,1,Neither Accurate nor Inaccurate (3),No Engagement,4.15,5.468,Somewhat Accurate (4),No Engagement,14.47,15.667,I'm not sure (3),1.694,3.357,1,1,0
298,2,2,Neither Accurate nor Inaccurate (3),No Engagement,7.744,11.376,Neither Accurate nor Inaccurate (3),No Engagement,9.03,10.571,More real than fake (4),3.267,4.32,1,1,0
298,3,3,Neither Accurate nor Inaccurate (3),No Engagement,8.371,9.681,Somewhat Inaccurate (2),No Engagement,18.204,19.348,I'm not sure (3),3.999,4.876,1,1,0
299,1,3,Neither Accurate nor Inaccurate (3),Reply,11.483,13.832,Neither Accurate nor Inaccurate (3),0,93.74,94.573,More fake than real (2),9.3,10.028,1,1,1
299,2,2,Somewhat Accurate (4),No Engagement,36.535,36.949,Neither Accurate nor Inaccurate (3),0,11.965,12.326,More real than fake (4),3.684,4.93,1,1,1
299,3,1,Very Accurate (5),0,22.767,23.716,Neither Accurate nor Inaccurate (3),No Engagement,16.315,17.629,More real than fake (4),4.483,4.505,1,1,1
300,1,2,Somewhat Inaccurate (2),No Engagement,7.735,9.307,Somewhat Inaccurate (2),No Engagement,4.152,5.927,More fake than real (2),0,1.442,1,0,0
300,2,1,Very Accurate (5),Like,4.035,5.342,Somewhat Accurate (4),Like,4.652,6.838,More real than fake (4),0,1.48,1,0,0
300,3,3,Somewhat Inaccurate (2),No Engagement,2.81,4.162,Somewhat Inaccurate (2),No Engagement,7.84,9.397,More fake than real (2),1.231,2.257,1,0,0
301,1,1,Somewhat Inaccurate (2),No Engagement,5.544,7.725,Somewhat Inaccurate (2),No Engagement,8.808,10.972,More fake than real (2),0.776,9.244,1,2,1
301,2,3,Very Inaccurate (1),No Engagement,9.882,12.335,Somewhat Inaccurate (2),No Engagement,5.026,6.269,More fake than real (2),0,12.346,1,2,1
301,3,2,Somewhat Accurate (4),No Engagement,21.01,24.066,Somewhat Inaccurate (2),No Engagement,6.296,8.348,More real than fake (4),0,1.363,1,2,1
302,1,1,Very Inaccurate (1),No Engagement,1.68,3.04,Very Inaccurate (1),No Engagement,1.664,2.967,More fake than real (2),0,8.082,1,2,1
302,2,3,Very Inaccurate (1),No Engagement,6.208,8.135,Very Inaccurate (1),No Engagement,3.703,5.121,Definitely fake (1),2.472,3.472,1,2,1
302,3,2,Neither Accurate nor Inaccurate (3),No Engagement,7.36,8.633,Neither Accurate nor Inaccurate (3),No Engagement,1.832,3.274,More fake than real (2),0,2.231,1,2,1
303,1,3,Somewhat Accurate (4),No Engagement,3.623,4.75,Somewhat Accurate (4),No Engagement,1.68,3.158,I'm not sure (3),0,0.797,0,1,0
303,2,2,Neither Accurate nor Inaccurate (3),No Engagement,2.752,4.015,Somewhat Accurate (4),No Engagement,2.272,3.632,I'm not sure (3),0,1.511,0,1,0
303,3,1,Somewhat Accurate (4),No Engagement,1.785,2.944,Somewhat Accurate (4),No Engagement,1.007,2.27,I'm not sure (3),0,0.828,0,1,0
304,1,1,Very Inaccurate (1),No Engagement,4.392,4.959,Somewhat Inaccurate (2),0,5.899,6.571,I'm not sure (3),6.193,6.728,1,1,0
304,2,2,Somewhat Inaccurate (2),No Engagement,7.489,7.948,Somewhat Inaccurate (2),0,3.665,4.441,More real than fake (4),5.083,5.821,1,1,0
304,3,3,Somewhat Inaccurate (2),No Engagement,14.307,15.01,Somewhat Inaccurate (2),No Engagement,13.067,13.928,More real than fake (4),1.267,1.786,1,1,0
305,1,3,Very Inaccurate (1),No Engagement,55.565,56.056,Very Inaccurate (1),No Engagement,7.994,8.474,Definitely fake (1),3.161,4.142,0,0,1
305,2,2,Very Inaccurate (1),No Engagement,10.254,11.008,Somewhat Inaccurate (2),No Engagement,3.909,4.753,More fake than real (2),6.392,7.323,0,0,1
305,3,1,Very Inaccurate (1),No Engagement,19.888,20.273,Very Inaccurate (1),No Engagement,16.328,16.912,More fake than real (2),2.886,3.837,0,0,1
306,1,1,Neither Accurate nor Inaccurate (3),No Engagement,6.673,9.482,Neither Accurate nor Inaccurate (3),No Engagement,5.375,6.908,More fake than real (2),10.333,11.259,1,0,1
306,2,2,Somewhat Accurate (4),Retweet,3.084,4.873,Somewhat Accurate (4),No Engagement,2.782,4.335,Definitely fake (1),0,6.145,1,0,1
306,3,3,Very Inaccurate (1),No Engagement,3.923,5.653,Very Inaccurate (1),External Share,3.312,6.071,Definitely fake (1),0,0.942,1,0,1
307,1,1,Somewhat Inaccurate (2),No Engagement,3.652,5.432,Neither Accurate nor Inaccurate (3),No Engagement,5.794,8.368,More real than fake (4),0,2.187,1,0,0
307,2,3,Neither Accurate nor Inaccurate (3),No Engagement,4.691,7.416,Somewhat Inaccurate (2),No Engagement,3.276,6.624,More real than fake (4),0,1.482,1,0,0
307,3,2,Neither Accurate nor Inaccurate (3),No Engagement,14.838,17.717,Somewhat Inaccurate (2),No Engagement,4.497,6.445,I'm not sure (3),5.652,7.262,1,0,0
308,1,1,Somewhat Accurate (4),No Engagement,2.88,4.983,Somewhat Accurate (4),No Engagement,3.327,5.169,More real than fake (4),0,1.463,0,1,0
308,2,3,Very Accurate (5),No Engagement,3.304,4.648,Neither Accurate nor Inaccurate (3),No Engagement,3.48,4.745,More real than fake (4),0,1.187,0,1,0
308,3,2,Very Accurate (5),No Engagement,13.582,15.914,Somewhat Accurate (4),No Engagement,3.592,5.345,More real than fake (4),0,0.956,0,1,0
309,1,2,Somewhat Inaccurate (2),No Engagement,3.393,4.309,Somewhat Inaccurate (2),No Engagement,2.67,3.589,Definitely real (5),0.62,1.12,1,0,0
309,2,1,Somewhat Inaccurate (2),No Engagement,1.893,2.123,Very Inaccurate (1),No Engagement,1.876,2.765,Definitely real (5),0,2.688,1,0,0
309,3,3,Very Inaccurate (1),No Engagement,1.415,2.223,Very Inaccurate (1),No Engagement,1.115,1.904,More real than fake (4),0.948,1.154,1,0,0
310,1,2,Very Inaccurate (1),No Engagement,2.297,3.552,Very Accurate (5),Like,13.206,15.983,More real than fake (4),0,3.672,1,2,0
310,2,1,Somewhat Accurate (4),No Engagement,18.21,19.65,Somewhat Inaccurate (2),Reply,13.134,14.562,Definitely real (5),0,4.809,1,2,0
310,3,3,Somewhat Accurate (4),No Engagement,29.41,30.125,Neither Accurate nor Inaccurate (3),No Engagement,4.4,11.256,More fake than real (2),2.474,5.8,1,2,0
311,1,2,Somewhat Accurate (4),Reply,120.912,123.768,Somewhat Accurate (4),Like,25.481,26.474,I'm not sure (3),18.277,18.642,0,2,0
311,2,3,Somewhat Accurate (4),Retweet,9.54,11.499,Somewhat Accurate (4),Retweet,68.405,69.936,More real than fake (4),40.913,42.098,0,2,0
311,3,1,Somewhat Accurate (4),No Engagement,94.341,94.944,Neither Accurate nor Inaccurate (3),No Engagement,71.048,72.633,More fake than real (2),6.517,7.609,0,2,0
312,1,1,Neither Accurate nor Inaccurate (3),Reply,90.139,90.889,Neither Accurate nor Inaccurate (3),Reply,67.571,68.76,More fake than real (2),39.281,40.197,0,0,1
312,2,3,Somewhat Accurate (4),Like,41.379,42.098,Somewhat Accurate (4),Like,34.253,35.218,More real than fake (4),18.486,18.975,0,0,1
312,3,2,Somewhat Accurate (4),No Engagement,44.443,45.392,Somewhat Accurate (4),No Engagement,27.657,28.595,More real than fake (4),22.166,22.996,0,0,1
